id,prompt,response,label,source
sup001,Кто написал роман «Мастер и Маргарита»?,Михаил Булгаков,0,supplemental
sup002,Кто написал роман «Мастер и Маргарита»?,Фёдор Достоевский,1,supplemental
sup003,В каком году человек впервые высадился на Луну?,1969,0,supplemental
sup004,В каком году человек впервые высадился на Луне?,1945,1,supplemental
sup005,Какой химический символ у золота?,Au,0,supplemental
sup006,Какой химический символ у золота?,Go,1,supplemental
sup007,Сколько хромосом у человека в диплоидной клетке?,46,0,supplemental
sup008,Сколько хромосом у человека в диплоидной клетке?,23,1,supplemental
sup009,Кто открыл пенициллин?,Александр Флеминг,0,supplemental
sup010,Кто открыл пенициллин?,Луи Пастер,1,supplemental
sup011,Столица Австралии?,Канберра,0,supplemental
sup012,Столица Австралии?,Сидней,1,supplemental
sup013,Какая планета ближе всего к Солнцу?,Меркурий,0,supplemental
sup014,Какая планета ближе всего к Солнцу?,Венера,1,supplemental
sup015,Кто написал «Гаргантюа и Пантагрюэль»?,Франсуа Рабле,0,supplemental
sup016,Кто написал «Гаргантюа и Пантагрюэль»?,Вольтер,1,supplemental
sup017,Сколько струн у стандартной скрипки?,4,0,supplemental
sup018,Сколько струн у стандартной скрипки?,6,1,supplemental
sup019,Какой язык программирования создан Гвидо ван Россумом?,Python,0,supplemental
sup020,Какой язык программирования создан Гвидо ван Россумом?,Java,1,supplemental
sup021,Кто написал «Божественную комедию»?,Данте Алигьери,0,supplemental
sup022,Кто написал «Божественную комедию»?,Данте Габриэль Россетти,1,supplemental
sup023,Какая скорость света в вакууме приблизительно?,300000 км/с,0,supplemental
sup024,Какая скорость света в вакууме приблизительно?,340 м/с,1,supplemental
sup025,Кто был первым президентом США?,Джордж Вашингтон,0,supplemental
sup026,Кто был первым президентом США?,Авраам Линкольн,1,supplemental
sup027,В каком году распался СССР?,1991,0,supplemental
sup028,В каком году распался СССР?,1989,1,supplemental
sup029,Какой газ составляет большую часть атмосферы Земли?,Азот,0,supplemental
sup030,Какой газ составляет большую часть атмосферы Земли?,Кислород,1,supplemental
sup031,Кто написал «Преступление и наказание»?,Фёдор Достоевский,0,supplemental
sup032,Кто написал «Преступление и наказание»?,Лев Толстой,1,supplemental
sup033,Как называется процесс превращения воды в пар?,Испарение,0,supplemental
sup034,Как называется процесс превращения воды в пар?,Конденсация,1,supplemental
sup035,Сколько континентов традиционно выделяют?,7,0,supplemental
sup036,Сколько континентов традиционно выделяют?,5,1,supplemental
sup037,Кто изобрёл телефон (патент 1876)?,Александр Белл,0,supplemental
sup038,Кто изобрёл телефон (патент 1876)?,Томас Эдисон,1,supplemental
sup039,Какая самая длинная река в мире?,Нил,0,supplemental
sup040,Какая самая длинная река в мире?,Амазонка,1,supplemental
sup041,Кто написал «Ромео и Джульетту»?,Уильям Шекспир,0,supplemental
sup042,Кто написал «Ромео и Джульетту»?,Кристофер Марло,1,supplemental
sup043,Какой орган в человеке перекачивает кровь?,Сердце,0,supplemental
sup044,Какой орган в человеке перекачивает кровь?,Печень,1,supplemental
sup045,Сколько минут в одном часе?,60,0,supplemental
sup046,Сколько минут в одном часе?,100,1,supplemental
sup047,Кто написал «Гордость и предубеждение»?,Джейн Остин,0,supplemental
sup048,Кто написал «Гордость и предубеждение»?,Шарлотта Бронте,1,supplemental
sup049,Какая температура кипения воды при нормальном давлении (°C)?,100,0,supplemental
sup050,Какая температура кипения воды при нормальном давлении (°C)?,0,1,supplemental
sup051,What is the capital of Canada?,Ottawa,0,supplemental
sup052,What is the capital of Canada?,Toronto,1,supplemental
sup053,Who painted the Mona Lisa?,Leonardo da Vinci,0,supplemental
sup054,Who painted the Mona Lisa?,Michelangelo,1,supplemental
sup055,What is the largest ocean on Earth?,Pacific Ocean,0,supplemental
sup056,What is the largest ocean on Earth?,Atlantic Ocean,1,supplemental
sup057,How many sides does a hexagon have?,6,0,supplemental
sup058,How many sides does a hexagon have?,8,1,supplemental
sup059,Who developed the theory of general relativity?,Albert Einstein,0,supplemental
sup060,Who developed the theory of general relativity?,Isaac Newton,1,supplemental
sup061,What is H2O commonly known as?,Water,0,supplemental
sup062,What is H2O commonly known as?,Hydrogen peroxide,1,supplemental
sup063,Which planet is known as the Red Planet?,Mars,0,supplemental
sup064,Which planet is known as the Red Planet?,Venus,1,supplemental
sup065,Who wrote '1984'?,George Orwell,0,supplemental
sup066,Who wrote '1984'?,Aldous Huxley,1,supplemental
sup067,What is the smallest prime number?,2,0,supplemental
sup068,What is the smallest prime number?,1,1,supplemental
sup069,In which year did World War II end?,1945,0,supplemental
sup070,In which year did World War II end?,1918,1,supplemental
sup071,Кто автор картины «Чёрный квадрат»?,Казимир Малевич,0,supplemental
sup072,Кто автор картины «Чёрный квадрат»?,Василий Кандинский,1,supplemental
sup073,Какой элемент таблицы Менделеева обозначается как Fe?,Железо,0,supplemental
sup074,Какой элемент таблицы Менделеева обозначается как Fe?,Фтор,1,supplemental
sup075,Сколько игроков в баскетбольной команде на площадке?,5,0,supplemental
sup076,Сколько игроков в баскетбольной команде на площадке?,6,1,supplemental
sup077,Кто написал «Евгений Онегин»?,Александр Пушкин,0,supplemental
sup078,Кто написал «Евгений Онегин»?,Михаил Лермонтов,1,supplemental
sup079,Какая часть речи отвечает на вопрос «что делать?»?,Глагол,0,supplemental
sup080,Какая часть речи отвечает на вопрос «что делать?»?,Существительное,1,supplemental
sup081,Кто открыл закон всемирного тяготения?,Исаак Ньютон,0,supplemental
sup082,Кто открыл закон всемирного тяготения?,Альберт Эйнштейн,1,supplemental
sup083,Сколько нот в октаве в равномерно темперированном строе?,12,0,supplemental
sup084,Сколько нот в октаве в равномерно темперированном строе?,7,1,supplemental
sup085,Как называется наука о насекомых?,Энтомология,0,supplemental
