id,prompt,response,label,source
27db66f5-3e16-4d4c-a050-d38bf614011a,Сколько будет 2 + 2? [syn:882],22,1,synthetic
3b0ff2ca-0b41-4367-b408-a236977b3ed8,What is 7 * 8? [syn:2322],54,1,synthetic
4051fc88-cf57-4148-8ad9-e5794209715d,Capital of Japan? [syn:2665],Tokyo,0,synthetic
07769ad1-aead-4ae7-b1d9-913c5edd9bed,Столица Франции? [syn:37],Париж,0,synthetic
f88a31c4-f4c4-451d-9186-730c857e4a43,What is 7 * 8? [syn:621],56,0,synthetic
5e5d47ac-0ac6-4e2c-975a-ebe8cf8183e1,What is 7 * 8? [syn:2276],54,1,synthetic
bbc2102d-3b85-4c7b-b31d-fb9a882e7fa4,Столица Франции? [syn:1245],Берлин,1,synthetic
407ccda1-1152-4661-b61a-8f69a95d6351,Capital of Japan? [syn:143],Seoul,1,synthetic
81858adf-a7b8-4bb6-9bc2-a710f0b92434,Столица Франции? [syn:1576],Париж,0,synthetic
79441cc5-5147-4c66-8311-204c9878494b,Сколько будет 2 + 2? [syn:60],4,0,synthetic
816628b9-9490-4c83-b607-4975bb14c17e,Сколько будет 2 + 2? [syn:2524],4,0,synthetic
sup278,В корпоративной ИТ-архитектуре: что такое Dead letter queue?,очередь с гарантией FIFO без повторов,1,supplemental
04951c23-87ab-4ebe-92f3-78a57734e602,Что такое вода? [syn:2450],Вода — это H2O.,0,synthetic
sup374,В корпоративных финансах и учёте: что верно про «Goodwill»?,материальные основные средства,1,supplemental
sup391,В корпоративных финансах и учёте: что верно про «SWIFT»?,сеть финансовых сообщений между банками,0,supplemental
7cf837b5-6898-45e3-a3ff-e37f0c275d6f,What is 7 * 8? [syn:881],54,1,synthetic
e32df05f-e50b-4551-9f79-39c87301f7e7,What is 7 * 8? [syn:2713],56,0,synthetic
71df4248-a544-4d34-b045-30df8dc30781,Что такое вода? [syn:1155],Вода — это H2O.,0,synthetic
3c9c06fe-ac8f-4f11-86aa-a7593e7abf55,What is 7 * 8? [syn:662],54,1,synthetic
32b97ff1-c461-400c-a290-7ba69007f890,Что такое вода? [syn:1079],"Вода — это металл, плавящийся при 2000°C.",1,synthetic
sup306,В корпоративной информационной безопасности: что описывает или означает «SIEM»?,только антивирусные сигнатуры на одном хосте,1,supplemental
sup377,В корпоративных финансах и учёте: что верно про «Free cash flow»?,денежный поток после капекс для распределения,0,supplemental
sup487,В инженерной практике ПО и сетей: что верно про «Плавающая точка: сравнение на равенство»?,опасно из-за погрешности; использовать epsilon,0,supplemental
f4d36bd2-425b-4d2c-a459-0f30ffd9fdbb,Capital of Japan? [syn:2147],Seoul,1,synthetic
3e787583-dff5-44fb-bb8d-37e6d6484f70,What is 7 * 8? [syn:2495],56,0,synthetic
421e4168-838c-42b7-a60b-50f26e5d70ff,Что такое вода? [syn:2209],"Вода — это металл, плавящийся при 2000°C.",1,synthetic
826a7af3-0e9a-42f9-9bdf-e7b775d9c97d,Столица Франции? [syn:646],Берлин,1,synthetic
715675a3-9ac1-4703-aa55-f1b9a811ec1c,What is 7 * 8? [syn:2879],54,1,synthetic
6c945ad6-688e-4e52-b8b3-fca45203a530,Capital of Japan? [syn:2626],Tokyo,0,synthetic
768908da-dfad-45a2-92b6-ede3ad8d273e,Столица Франции? [syn:1190],Берлин,1,synthetic
4701e674-c7f6-46a4-91b8-da3fc840ee50,Столица Франции? [syn:67],Берлин,1,synthetic
9b2c43d6-4ac0-4a44-81a6-4db9503f6016,What is 7 * 8? [syn:2247],56,0,synthetic
9c428879-22eb-4bca-93e6-a61aa0c8b9e8,Столица Франции? [syn:1777],Париж,0,synthetic
9fa5ff44-9079-4ad9-a431-b1af127c4618,Сколько будет 2 + 2? [syn:2186],22,1,synthetic
85387de1-d9e4-4da9-84b4-978ce366293f,Столица Франции? [syn:2473],Берлин,1,synthetic
c494b10e-fe41-4deb-98c4-a0a0b260a9f8,Capital of Japan? [syn:2742],Tokyo,0,synthetic
e904bb8e-b298-4774-b6ff-5e37911536b6,Что такое вода? [syn:609],Вода — это H2O.,0,synthetic
6309cfde-7ba2-41c8-b00f-c36a90d015a8,Capital of Japan? [syn:47],Tokyo,0,synthetic
sup309,В корпоративной информационной безопасности: что описывает или означает «Air gap»?,изолированная сеть без прямого выхода в интернет,0,supplemental
12ea206d-b175-42e6-9e06-9c536ca42fec,Сколько будет 2 + 2? [syn:2685],5,1,synthetic
c6b199ff-e5f0-4e10-b654-5c200ee3be05,What is 7 * 8? [syn:490],54,1,synthetic
sup220,В корпоративной ИТ-архитектуре: что такое JWT?,формат сжатия изображений WebP,1,supplemental
3e4a79a6-1232-40a3-9b01-10635b065d73,Сколько будет 2 + 2? [syn:130],22,1,synthetic
308b24e4-8481-479a-84d2-e6cdbd64706c,Capital of Japan? [syn:172],Seoul,1,synthetic
2b77c66f-a9e9-49b6-907c-b9848f53fa7b,Что такое вода? [syn:724],Вода — это H2O.,0,synthetic
a8168c72-9911-462d-8296-71792de83991,Столица Франции? [syn:2576],Париж,0,synthetic
501bfb55-9c0a-4d55-80bb-15f781aa154a,Capital of Japan? [syn:84],Seoul,1,synthetic
